Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,82348669,82657002,82905782,83092962,83160871,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,28696068,29356742,30008354,30637585,31258945,31887809,32518665
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33193,33658,34245,34854,35494,36173,36858
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10775971,10754679,10732882,10721582,10698599,10569207
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56186,56172,56023,56225,56367,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,114676,115130,115438,115691,115981,116341,116688
"Population, total",SP.POP.TOTL,Guam,GUM,164905,164233,163490,162679,161808,162158,163730
"Population, total",SP.POP.TOTL,Guatemala,GTM,15971743,16268760,16567357,16845685,17103803,17357325,17598650
"Population, total",SP.POP.TOTL,Guinea,GIN,11767070,12073030,12385659,12704774,13034346,13371183,13710513
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1786457,1831893,1877072,1922168,1967696,2013255,2058841
"Population, total",SP.POP.TOTL,Guyana,GUY,758781,763548,768479,791556,807665,807481,815482
"Population, total",SP.POP.TOTL,Haiti,HTI,10523242,10671457,10817754,10962362,11105163,11243848,11374586
"Population, total",SP.POP.TOTL,Honduras,HND,9237305,9412380,9588137,9765210,9943633,10119640,10289877
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7336600,7393200,7452600,7507900,7481000,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,9797755,9759755,9726756,9706964,9694824,9670419,9630932
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,335439,343400,352721,360563,366463,372520
"Population, total",SP.POP.TOTL,India,IND,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896
"Population, total",SP.POP.TOTL,Indonesia,IDN,261799249,264627418,267346658,269951846,272489381,274814866,276758053
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82619362,83812228,85026754,86117998,87051648,87723443,88455488
"Population, total",SP.POP.TOTL,Iraq,IRQ,37560535,38469627,39337353,40265624,41192171,42116605,43071211
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4762722,4827445,4898022,4976456,5039747,5110585
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,83466,83609,83805,83957,84064,84106
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,8546000,8713300,8882800,9054000,9215100,9371400
"Population, total",SP.POP.TOTL,Italy,ITA,60229605,60115223,60002252,60148658,59729081,59438851,59133173
"Population, total",SP.POP.TOTL,Jamaica,JAM,2802534,2809915,2815764,2820097,2823271,2830739,2837682
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,127076000,126972000,126811000,126633000,126261000,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,9544729,10006367,10234226,10462306,10671891,10865228,11066356
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18084169,18363600,18651931,18932727,19209555,19482117,19743603
"Population, total",SP.POP.TOTL,Kenya,KEN,47088526,48139687,49197766,50207107,51202827,52217334,53219166
"Population, total",SP.POP.TOTL,Kiribati,KIR,116815,118478,120275,122084,123921,126099,128377
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25575350,25698326,25817709,25931147,26037632,26136312,26232534
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51217803,51361911,51585058,51764822,51836239,51769539
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788274,1777568,1791019,1797086,1788891,1790151,1786079
"Population, total",SP.POP.TOTL,Kuwait,KWT,3834574,4004096,4154812,4323515,4442316,4400267,4360865
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6040036,6175338,6306696,6444079,6590211,6726596,6851224
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6801645,6908802,7018147,7128045,7237636,7346533,7453194
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1959537,1942248,1927174,1913822,1900449,1884490
"Population, total",SP.POP.TOTL,Lebanon,LBN,6472469,6323060,6160128,5984119,5794594,5702398,5718122
"Population, total",SP.POP.TOTL,Lesotho,LSO,2104611,2130422,2157110,2183603,2209405,2235727,2261542
"Population, total",SP.POP.TOTL,Liberia,LBR,4659431,4755608,4848925,4944726,5043721,5149463,5259323
"Population, total",SP.POP.TOTL,Libya,LBY,6531819,6632126,6738770,6849055,6951033,7045399,7135175
